Address,City,Phone Number,Timings,Coordinates
"Patil Planet, Bm Patil Road, Near Bld Hospital, Banjara Nagar, Bijapur, Karnataka, 586101",Bijapur,0928 9062 295,11:00 AM to 09:30 PM (Closing Soon),"16.850386,75.712196"
"Ward No 48, Civil Hospital Road, Ayodhya Nagar, Belgaum, Karnataka, 590001",Belgaum,0928 9062 283,11:00 AM to 10:00 PM (Closing Soon),"15.873478,74.512665"
"Plot No 145 To 148/A, 2Nd Cross, Khb Colony, Opposite Sukrutha Nursing Home, Gandhi Nagar, Bellary, Karnataka, 583103",Bellary,0928 9062 299,11:00 AM to 10:00 PM (Closing Soon),"15.152952,76.933163"
"Shop No 56-5B1-5B4 AVK College Road, PJ Extn, Prince Jayachamaraja Wodeyar, Davanagere, Karnataka, 577002",Davanagere,0928 9062 294,10:00 AM to 10:00 PM (Closing Soon),"14.463185,75.917753"
"D No 3993/23, Ss Gardenia, Ss Layout, A Block, Shamanur Road, Near Lakshmi Flour Mill, Kuvempu Nagar, Davanagere, Karnataka, 577004",Davanagere,0928 9062 289,11:00 AM to 10:00 PM (Closing Soon),"14.455295,75.905862"
"Shop No 31 To 33, Muddappa Arcade, 2Nd Cross, Bh Road, Vidyanagar, Tumkur, Karnataka, 572103",Tumkur,0928 9062 292,11:00 AM to 10:00 PM (Closing Soon),"13.334995,77.123022"
"Unit No Ff1 To Ff6, 1St Flr, Canara Mall, Shivalli, Opposite Manipal Hospital, Manipal, Udupi, Karnataka, 576104",Udupi,0928 9062 298,11:00 AM to 10:00 PM (Closing Soon),"13.352654,74.790291"
"Plot No 587, Basement To 3Rd Floor, Vidyaranyapura Main Road, Vidyaranyapura, Bengaluru North, Bengaluru, Karnataka, 560097",Bengaluru,0928 9062 297,09:30 AM to 09:30 PM (Closing Soon),"13.0808372,77.5595022"
"Shop No 41 And 42, Kodigehalli, Yelahanka Hobli, Sahakara Nagar, Bengaluru North, Bengaluru, Karnataka, 560092",Bengaluru,0928 9062 303,11:00 AM to 10:00 PM (Closing Soon),"13.063231,77.591975"
"Shop No 23, Devaraja Arcade, Iti Layout, Bel Road, Next To Nandhana Palace, Bengaluru North, Bengaluru, Karnataka, 560054",Bengaluru,0804 1495 222,11:00 AM to 10:00 PM (Closing Soon),"13.03295,77.5692464"
"No 9/36, Vaishnavi Sapphire Mall, Tumkur Road, Yashwantapur, Bengaluru, Karnataka, 560022",Bengaluru,0928 9062 300,11:00 AM to 10:00 PM (Closing Soon),"13.024466,77.548771"
"417/A, Hrbr 3Rd Block, Kammanahalli, Kacharakanahalli, Banaswadi, Next To ICICI Bank, Kalyan Nagar, Bengaluru, Karnataka, 560043",Bengaluru,0928 9062 285,10:30 AM to 09:30 PM (Closing Soon),"13.024966,77.636864"
"Shop No 308/5C, East Of Ngef Layout, Main Road, Banaswadi, Ramamurthy Nagar, Next To Tarun Motors, Bengaluru North, Bengaluru, Karnataka, 560016",Bengaluru,0928 9062 304,11:00 AM to 10:00 PM (Closing Soon),"13.012221,77.665948"
"Plot No 721, Modi Hospital Road, 2Nd Stage, West Of Chord Road, Basaveshwara Nagar, Opposite Kadamba Hotel, Bengaluru North, Bengaluru, Karnataka, 560086",Bengaluru,0928 9062 290,11:00 AM to 10:00 PM (Closing Soon),"12.997311,77.547843"
"01/11, 1St Flr, Ascendas Park Sqre Mall, Whitefield Road, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka, 560066",Bengaluru,0928 9062 288,11:00 AM to 10:00 PM (Closing Soon),"12.986925,77.736634"
"No 82/1/510, Wn 82, New Municipal No 510, Binnamangala 1St Stage, Near Puma Building, Hoysala Nagar, Bengaluru, Karnataka, 560038",Bengaluru,0928 9062 286,11:00 AM to 10:00 PM (Closing Soon),"12.978266,77.643632"
"Shop No 92, 12 To 16, Ugf, Gt Mall, Magadi Main Road, Next To Prasanna Theatre, Bengaluru North, Bengaluru, Karnataka, 560023",Bengaluru,0928 9062 284,11:00 AM to 10:00 PM (Closing Soon),"12.973693,77.551804"
"Plot No 857, Ground And 1St Floor, Cl Arcade, 80 Feet Road, Vinayaka Layout, Nagarbhavi, Bengaluru North, Bengaluru, Karnataka, 560072",Bengaluru,0928 9062 296,11:00 AM to 10:00 PM (Closing Soon),"12.960966,77.507281"
"Shop No 62, Forum Value Mall, Prestige Ozone, Near Varthur Kodhi, Whitefield, Bengaluru, Karnataka, 560066",Bengaluru,0928 9062 293,10:00 AM to 10:00 PM (Closing Soon),"12.959719,77.747917"
"No 1099, Ground To 3Rd Floor, 13 Road Main, Sector 3, Hsr Layout, Bengaluru, Karnataka, 560102",Bengaluru,0928 9062 287,10:30 AM to 09:30 PM (Closing Soon),"12.9110603,77.6380315"
"Shop No 01, 2Nd Floor, Mall Of Mysore, Mg Road, Indira Nagar Extension, Near Zoo, Nazarabad, Mysore, Karnataka, 570010",Mysore,0928 9062 302,10:30 AM to 09:30 PM (Closing Soon),"12.2979261,76.6646234"
